x,y,z
-2.678916989832630380e-02,-3.280727116779993340e-18,-7.434133886394800328e-04
-2.808264104499122449e-02,-3.439131646735258637e-18,-6.065268220086739159e-03
-2.819072966691510418e-02,-3.452368685221591358e-18,-1.189943615592212178e-02
-2.648468735890070758e-02,-3.243438760049611813e-18,-2.088756543844863534e-02
-2.461847388932386638e-02,-3.014893524845316471e-18,-2.748723700418607974e-02
-2.334495168211753180e-02,-2.858932035375485490e-18,-3.383075201772946239e-02
-2.266011438807877254e-02,-2.775063655367355209e-18,-4.018316511131313218e-02
-2.175501069443297464e-02,-2.664220421235377931e-18,-4.812293997162271630e-02
-2.143859191395475206e-02,-2.625470296565101738e-18,-5.607161291197254593e-02
-1.996483505315625739e-02,-2.444987134335268650e-18,-6.267721653107019564e-02
-1.746586682917919409e-02,-2.138951790668823020e-18,-7.218359097134499636e-02
-1.305669810094894912e-02,-1.598984353676045537e-18,-7.821459492577254036e-02
-7.706451342802456139e-03,-9.437680969747850551e-19,-8.158022242445633898e-02
-2.196033423093490811e-03,-2.689365302412048767e-19,-8.255739220635102682e-02
5.432832352866817649e-03,6.653300751242531507e-19,-8.085138937242136725e-02
1.220467062561694793e-02,1.494641081630952013e-18,-7.438626726499414366e-02
1.603308433252934040e-02,1.963486540829163653e-18,-6.796563555776834187e-02
1.924076233265042957e-02,2.356313800383530821e-18,-5.943346487270814715e-02
2.183171097518321613e-02,2.673613496566826618e-18,-4.905480984204790840e-02
2.541982653647376078e-02,3.113030920277354268e-18,-3.972154320692453111e-02
2.726592545347952812e-02,3.339112833239404934e-18,-3.200529860532798365e-02
2.832711115292849136e-02,3.469070600252516841e-18,-2.430091811045181904e-02
2.936826510636267318e-02,3.596575185901795028e-18,-1.527126445440399327e-02
2.945632198227174370e-02,3.607359043024290950e-18,-8.111823357396963363e-03
2.678916989832630380e-02,3.280727116779993340e-18,-4.637973694425756577e-04
1.269142766927502421e-02,2.171633914516505476e-02,-3.171594613629797818e-03
1.353271134395187675e-02,2.244315617201085231e-02,-1.188415613372632677e-02
1.344960869350616921e-02,2.150464008407940858e-02,-2.136318540784931316e-02
1.317750660413077347e-02,2.031746173694008381e-02,-2.990341926883526014e-02
1.334975367850282577e-02,1.985310010598504218e-02,-3.900218224739057660e-02
1.416037506491927417e-02,2.057412461747099366e-02,-4.715027948702670696e-02
1.467493301952300239e-02,2.038738782252299056e-02,-6.001015928102104019e-02
1.407945568298599355e-02,1.842926043162242816e-02,-7.106571790282117940e-02
1.263264325303758116e-02,1.531650167977836180e-02,-7.830469554377574026e-02
9.699471890544857783e-03,1.000633020258233016e-02,-8.104576442972025174e-02
5.528590374502552127e-03,2.687690900945588057e-03,-8.217264529125434258e-02
1.080073027660888741e-03,-4.754383427945953026e-03,-7.903534438518658445e-02
-2.665394957704054265e-03,-1.085688180564424628e-02,-7.444431278803678720e-02
-5.581813955639149116e-03,-1.545402939267736739e-02,-6.902541410856298520e-02
-7.413834241326633379e-03,-1.807167173206891339e-02,-6.239838205119752068e-02
-8.799830126810934822e-03,-1.989519496625993464e-02,-5.551388235485957279e-02
-9.993476100454021238e-03,-2.132745116321048753e-02,-4.793618455857494992e-02
-1.144247179891487616e-02,-2.323386181713744947e-02,-4.073875305785797096e-02
-1.218841813589902241e-02,-2.380069651987118742e-02,-3.208759086605899452e-02
-1.277602732221387247e-02,-2.412466147875686959e-02,-2.381075980693661207e-02
-1.262824962233582635e-02,-2.303195558207314989e-02,-1.382866558065084031e-02
-1.226416066817924422e-02,-2.182739968885434242e-02,-6.981824561046109066e-03
-1.100969815007202778e-02,-1.910590797425070972e-02,-4.360450200382124937e-04
-6.424566285333166427e-03,2.334440404100655148e-02,-3.176156002046387483e-02
-1.112396981433545935e-02,2.244957500991190055e-02,-3.150088687770413731e-02
-1.803549475937828508e-02,1.660304262362038638e-02,-3.277936805181531910e-02
-2.058343089290137415e-02,8.269990645245138203e-03,-3.551677556867906260e-02
-1.921780810793568411e-02,-1.768786223712930398e-03,-3.937030457614067169e-02
-1.574048643594701952e-02,-1.202438634380228154e-02,-4.356799824666888338e-02
-1.223718890203293400e-02,-2.017071622903347447e-02,-4.699523088166890350e-02
-7.068741455442650520e-03,-2.448452033079051918e-02,-4.922529816540559267e-02
3.343223504294238839e-04,-2.500590517559703185e-02,-5.034427525891840144e-02
8.618431917806278209e-03,-2.266104099205465405e-02,-5.052227276791840249e-02
1.965989394524582726e-02,-1.587957304814494736e-02,-4.941838957552752154e-02
2.422606827414269109e-02,-6.394762261020154291e-03,-4.651141537731744852e-02
2.390591769073890926e-02,4.932383614771524739e-03,-4.231630534752182926e-02
2.061551740204863384e-02,1.245081961509928066e-02,-3.914607436581945404e-02
1.234185059072430424e-02,1.991161843087029676e-02,-3.537250137029381708e-02
3.874300558733267778e-03,2.357247270019395893e-02,-3.296851601029277684e-02
