x,y,z
-3.512281953274247470e-02,-4.301304851780320787e-18,-7.762372938076911311e-03
-3.470552363079534852e-02,-4.250200842718635476e-18,-1.783044261377852990e-02
-3.401916674741090052e-02,-4.166146366687683291e-18,-2.815956057251152445e-02
-3.177453286424422596e-02,-3.891257996659907405e-18,-3.634420337815204294e-02
-3.088321658667000924e-02,-3.782103234023987058e-18,-4.269349550416709493e-02
-3.074299436456610912e-02,-3.764930964477100570e-18,-5.197040763236869532e-02
-2.900843799985326765e-02,-3.552509074478475436e-18,-6.148833629758680697e-02
-2.623369485221792308e-02,-3.212701043057707761e-18,-6.966496640482142122e-02
-2.237469508042747024e-02,-2.740109871214353348e-18,-7.941589890865008439e-02
-1.644734079040094388e-02,-2.014218325345021402e-18,-8.568907039980874774e-02
-1.055604364320114619e-02,-1.292742505930604785e-18,-8.957675020085839601e-02
-3.118488543827985238e-03,-3.819047013376632547e-19,-9.052479095211264648e-02
5.339221592452814136e-03,6.538660633135772770e-19,-8.880625998421165512e-02
1.376488093510988553e-02,1.685711737782674711e-18,-8.496729195843599758e-02
1.792963441600281538e-02,2.195746939744007193e-18,-7.986715235873623198e-02
2.203829900805415187e-02,2.698913233886580804e-18,-7.105624790775583177e-02
2.485774758176054200e-02,3.044196101001590656e-18,-6.465086689289921418e-02
2.974154432450001884e-02,3.642288705869807448e-18,-5.450267023313820625e-02
3.303901962303651407e-02,4.046112962831825630e-18,-4.464356630082935706e-02
3.579837295869839342e-02,4.384036285855315453e-18,-3.426236580245778374e-02
3.699944929457804621e-02,4.531125714881980036e-18,-2.602564045717868646e-02
3.689127786609788795e-02,4.517878535517237512e-18,-1.886916538685172451e-02
3.732122840049231782e-02,4.570532290091021035e-18,-1.223478688258751446e-02
3.721305697201218732e-02,4.557285110726282363e-18,-5.078311812260538627e-03
1.723853984404806819e-02,2.975763988401442309e-02,-1.197580321894031350e-03
1.803722753844718904e-02,3.011618271505822966e-02,-1.342337023024715338e-02
1.809731415328896115e-02,2.953209968693550763e-02,-2.163282377709071710e-02
1.841438030288857289e-02,2.928792357999367157e-02,-3.109721195241034464e-02
1.834454326454188974e-02,2.830317682975709570e-02,-4.140186021595537724e-02
1.798366850374974110e-02,2.662457594013538723e-02,-5.397030076423312700e-02
1.839545301020258442e-02,2.624254812788447480e-02,-6.703635076081171373e-02
1.729540361552927771e-02,2.352903727448688725e-02,-7.667751975995562574e-02
1.523039046828553698e-02,1.933323623128998733e-02,-8.406307973015983426e-02
1.278019479606696748e-02,1.467371685862647011e-02,-8.902170535146207431e-02
6.242060777581955218e-03,3.268520082304506545e-03,-8.998581662670279702e-02
6.070832338541999086e-04,-6.347155789923441919e-03,-8.826327782116703824e-02
-3.801936142278579227e-03,-1.349464581890564424e-02,-8.242782898641647094e-02
-7.823478776141222502e-03,-1.980928109998369643e-02,-7.466305525106470276e-02
-1.055610885594796683e-02,-2.377839304289176489e-02,-6.554950097146268473e-02
-1.290183574780845097e-02,-2.700693434250515598e-02,-5.559568660363528592e-02
-1.415382234255763670e-02,-2.853708993942403668e-02,-4.798041617279771853e-02
-1.585451940306632779e-02,-3.050058546534302820e-02,-3.626314672046941634e-02
-1.617215910698976966e-02,-3.034869346301057383e-02,-2.788782335752557420e-02
-1.639393334541234745e-02,-3.015008495676848102e-02,-2.093603219108911354e-02
-1.587423873265850216e-02,-2.854743006831302748e-02,-1.255525332428325709e-02
-1.570968333745860132e-02,-2.770053502338555573e-02,-5.852266881997179350e-03
2.576888979137926389e-06,3.579466655814335374e-02,-2.800001729203973819e-02
-6.554314566754410216e-03,3.520294013014112905e-02,-2.739538751731886504e-02
-1.384231423099950564e-02,3.086231845260145254e-02,-2.807429660157223505e-02
-2.056258790798120434e-02,2.484731308198595209e-02,-2.943854342795265006e-02
-2.730596570317287211e-02,1.742416348530854975e-02,-3.131642620904986213e-02
-3.137905596462884500e-02,9.507008400099659085e-03,-3.371014905613484158e-02
-3.170747380090283007e-02,3.094181154693396649e-03,-3.602132717642116816e-02
-3.100771498215073446e-02,-4.136601214502615489e-03,-3.876139241335464780e-02
-2.802715354901759784e-02,-1.292711560315060702e-02,-4.235941555952166954e-02
-2.540142085792412158e-02,-2.067114018362623332e-02,-4.552910261685929466e-02
-2.200827038722623016e-02,-2.698778381529178330e-02,-4.827137196506375155e-02
-1.444465300089877759e-02,-3.305588737696155827e-02,-5.144509989306484538e-02
-7.343139676111811766e-03,-3.554668886809707329e-02,-5.324870336462956405e-02
3.821565244803868874e-03,-3.525813802687498277e-02,-5.454197704838396193e-02
1.347288533094300952e-02,-3.198247421739078972e-02,-5.454987511377164255e-02
2.142268084906955722e-02,-2.811738996849947117e-02,-5.412833503469442059e-02
3.104924342322078895e-02,-2.181613974525692390e-02,-5.302329397288262081e-02
3.725955140846411162e-02,-1.060639011641081354e-02,-4.968961951758317508e-02
3.612079264638158593e-02,1.609838549381378001e-03,-4.506579386949653709e-02
3.421461610469462428e-02,1.239868626636347372e-02,-4.086938593054307428e-02
2.789041922483928224e-02,2.145467145916033630e-02,-3.675497169057052177e-02
1.914514162756486906e-02,2.805525395485786513e-02,-3.323784018774891130e-02
9.041616145212512737e-03,3.349469496875916857e-02,-2.997642460665021769e-02
